"Wall-normal coordinate", "Streamwise velocity",
0.0025,                                    8.11,
0.0067,                                    6.32,
0.0110,                                    5.52,
0.0152,                                    5.00,
0.0194,                                    4.57,
0.0236,                                    4.10,
0.0279,                                    3.76,
0.0321,                                    3.50,
0.0363,                                    3.25,
0.0406,                                    3.07,
0.0448,                                    2.82,
0.0490,                                    2.68,
0.0533,                                    2.37,
0.0575,                                    2.15,
0.0617,                                    1.97,
0.0659,                                    1.83,
0.0702,                                    1.70,
0.0786,                                    1.65,
0.0871,                                    1.33,
0.0956,                                    0.95,
0.1040,                                    0.95,
