"Radius", "Velocity, case 2", "Velocity, case 3",
   0.000,             1017.0,             2215.0,
   1.245,              976.0,             2120.0,
   2.510,              862.0,             1892.0,
   3.150,              770.0,             1693.0,
   3.340,              720.0,             1605.0,
   3.420,              700.0,             1556.0,
   3.475,              680.0,             1510.0,
   3.530,              652.0,             1453.0,
   3.570,              629.0,             1407.0,
   3.610,              592.0,             1344.0,
   3.650,              516.0,             1248.0,
   3.670,              392.0,             1098.0,
