"Mean velocity", "Maximum velocity", "Working fluid", "Pipe",
         167.50,             208.80,         "Water",    "1",
         142.30,             177.50,         "Water",    "1",
         129.90,             162.00,         "Water",    "1",
         121.10,             150.90,         "Water",    "1",
         105.70,             132.40,         "Water",    "1",
          94.60,             118.40,         "Water",    "1",
          94.50,             118.60,         "Water",    "1",
          85.70,             107.40,         "Water",    "1",
          75.70,              95.00,         "Water",    "1",
          62.80,              79.00,         "Water",    "1",
          42.40,              53.70,         "Water",    "1",
          37.00,              47.10,         "Water",    "1",
         153.40,             191.40,         "Water",    "1",
         145.90,             181.20,         "Water",    "1",
         160.60,             200.00,         "Water",    "1",
         167.50,             207.80,         "Water",    "1",
         217.20,             269.40,         "Water",    "1",
         187.50,             232.80,         "Water",    "1",
         194.60,             246.70,         "Water",   "17",
         145.90,             187.00,         "Water",   "17",
         125.90,             161.90,         "Water",   "17",
         104.40,             135.50,         "Water",   "17",
          81.73,             107.00,         "Water",   "17",
          65.20,              87.07,         "Water",   "17",
          57.60,              77.83,         "Water",   "17",
          49.06,              67.91,         "Water",   "17",
          39.44,              65.70,         "Water",   "17",
          35.12,              61.37,         "Water",   "17",
          33.15,              58.79,         "Water",   "17",
          28.89,              55.60,         "Water",   "17",
          27.28,              53.69,         "Water",   "17",
          25.24,              49.05,         "Water",   "17",
          24.24,              48.63,         "Water",   "17",
          22.25,              43.28,         "Water",   "17",
         512.90,             642.40,         "Water",   "17",
         450.00,             563.30,         "Water",   "17",
         374.80,             469.60,         "Water",   "17",
         282.30,             356.10,         "Water",   "17",
         668.10,             828.60,         "Water",   "17",
         733.00,             906.80,         "Water",   "17",
         797.90,             991.10,         "Water",   "17",
         872.00,            1076.00,         "Water",   "17",
         940.40,            1165.00,         "Water",   "17",
        1028.00,            1264.00,         "Water",   "17",
        1117.00,            1376.00,         "Water",   "17",
        1199.00,            1474.00,         "Water",   "17",
         573.90,             757.20,           "Air",   "16",
         720.30,             937.60,           "Air",   "16",
         115.50,             149.00,           "Air",   "16",
         648.80,             853.00,           "Air",   "16",
         471.50,             631.30,           "Air",   "16",
         363.60,             515.40,           "Air",   "16",
         404.20,             549.70,           "Air",   "16",
         410.80,             558.90,           "Air",   "16",
         893.60,            1161.00,           "Air",   "16",
         240.70,             317.40,           "Air",    "1",
         283.60,             372.30,           "Air",    "1",
         207.70,             281.80,           "Air",    "1",
         504.50,             840.00,           "Air",   "17",
         290.50,             582.20,           "Air",   "17",
         333.80,             669.50,           "Air",   "17",
         364.00,             712.20,           "Air",   "17",
         389.00,             766.00,           "Air",   "17",
         256.20,             505.70,           "Air",   "17",
         324.00,             646.20,           "Air",   "17",
