"Mean velocity", "Surface friction", "Friction coefficient", "Reynolds number", "Temperature", "Working fluid", "Pipe",
          116.3,              41.80,              0.3090E-2,          25.32E+3,          10.2,         "Water",    "1",
          125.6,              47.80,              0.3030E-2,          27.36E+3,          10.2,         "Water",    "1",
          138.2,              56.20,              0.2940E-2,          30.10E+3,          10.2,         "Water",    "1",
          149.7,              64.60,              0.2950E-2,          32.62E+3,          10.2,         "Water",    "1",
          136.8,              55.20,              0.2940E-2,          30.00E+3,          10.2,         "Water",    "1",
          155.8,              68.50,              0.2820E-2,          34.20E+3,          10.5,         "Water",    "1",
          180.0,              88.00,              0.2720E-2,          39.50E+3,          10.5,         "Water",    "1",
          201.0,             109.20,              0.2700E-2,          44.10E+3,          10.7,         "Water",    "1",
          214.2,             120.20,              0.2610E-2,          47.40E+3,          10.7,         "Water",    "1",
           95.0,              29.46,              0.3270E-2,          21.00E+3,          10.7,         "Water",    "1",
          104.1,              34.20,              0.3160E-2,          23.00E+3,          11.1,         "Water",    "1",
           95.0,              29.52,              0.3280E-2,          21.00E+3,          11.1,         "Water",    "1",
           84.8,              24.40,              0.3390E-2,          18.80E+3,          11.1,         "Water",    "1",
           73.6,              18.95,              0.3500E-2,          16.50E+3,          11.1,         "Water",    "1",
           63.0,              14.44,              0.3630E-2,          14.10E+3,          11.1,         "Water",    "1",
           53.7,              10.93,              0.3800E-2,          12.00E+3,          11.1,         "Water",    "1",
           46.0,               8.26,              0.3900E-2,          10.30E+3,          11.3,         "Water",    "1",
           42.7,               7.22,              0.3960E-2,           9.60E+3,          11.3,         "Water",    "1",
           38.2,               5.95,              0.4080E-2,           8.58E+3,          11.3,         "Water",    "1",
           33.1,               4.74,              0.4330E-2,           7.44E+3,          11.3,         "Water",    "1",
           27.0,               3.27,              0.4490E-2,           6.12E+3,          11.3,         "Water",    "1",
           22.3,              23.90,              0.4810E-2,           5.06E+3,          11.3,         "Water",    "1",
           29.6,               3.86,              0.4400E-2,           6.70E+3,          11.5,         "Water",    "1",
          258.0,             199.00,              0.2990E-2,          29.18E+3,          16.0,         "Water",   "16",
          299.0,             259.00,              0.2880E-2,          33.80E+3,          16.0,         "Water",   "16",
          343.0,             327.00,              0.2780E-2,          38.80E+3,          16.0,         "Water",   "16",
          344.0,             331.00,              0.2800E-2,          38.90E+3,          16.0,         "Water",   "16",
          343.0,             328.00,              0.2780E-2,          38.80E+3,          16.0,         "Water",   "16",
          258.0,             198.00,              0.2980E-2,          29.20E+3,          16.0,         "Water",   "16",
          501.0,             640.00,              0.2550E-2,          56.60E+3,          15.8,         "Water",   "16",
          461.0,             556.00,              0.2620E-2,          52.20E+3,          15.8,         "Water",   "16",
          423.0,             479.00,              0.2680E-2,          47.80E+3,          15.8,         "Water",   "16",
          386.0,             404.00,              0.2710E-2,          43.70E+3,          15.8,         "Water",   "16",
          299.0,             238.00,              0.2880E-2,          33.80E+3,          15.8,         "Water",   "16",
          447.0,             526.00,              0.2630E-2,          50.60E+3,          15.8,         "Water",   "16",
          490.0,             612.00,              0.2550E-2,          55.40E+3,          15.8,         "Water",   "16",
          528.0,             689.00,              0.2470E-2,          59.70E+3,          15.8,         "Water",   "16",
          552.0,             762.00,              0.2500E-2,          62.40E+3,          15.8,         "Water",   "16",
          584.0,             842.00,              0.2470E-2,          66.00E+3,          15.8,         "Water",   "16",
          612.0,             918.00,              0.2450E-2,          69.20E+3,          15.8,         "Water",   "16",
          632.0,             965.00,              0.2420E-2,          71.40E+3,          15.8,         "Water",   "16",
          673.0,            1078.00,              0.2380E-2,          76.20E+3,          15.8,         "Water",   "16",
          699.0,            1162.00,              0.2380E-2,          79.00E+3,          15.8,         "Water",   "16",
          730.0,            1247.00,              0.2340E-2,          82.50E+3,          15.8,         "Water",   "16",
          730.0,            1252.00,              0.2350E-2,          82.50E+3,          15.8,         "Water",   "16",
          757.0,            1337.00,              0.2300E-2,          85.60E+3,          15.8,         "Water",   "16",
          796.0,            1460.00,              0.2310E-2,          90.00E+3,          15.8,         "Water",   "16",
          524.0,             693.00,              0.2520E-2,          59.20E+3,          15.8,         "Water",   "16",
          232.0,             162.00,              0.3010E-2,          26.20E+3,          15.8,         "Water",   "16",
          243.0,             177.00,              0.3000E-2,          27.50E+3,          15.8,         "Water",   "16",
          197.0,             124.00,              0.3200E-2,          22.30E+3,          15.8,         "Water",   "16",
          151.0,              78.00,              0.3420E-2,          17.10E+3,          15.8,         "Water",   "16",
          183.0,             108.00,              0.3230E-2,          20.70E+3,          15.8,         "Water",   "16",
          226.0,             157.00,              0.3080E-2,          24.60E+3,          14.5,         "Water",   "16",
          199.0,             124.20,              0.3140E-2,          21.70E+3,          14.3,         "Water",   "16",
          201.0,             128.40,              0.3180E-2,          21.90E+3,          14.3,         "Water",   "16",
          193.0,             120.40,              0.3230E-2,          21.00E+3,          14.3,         "Water",   "16",
          187.0,             114.50,              0.3270E-2,          20.40E+3,          14.3,         "Water",   "16",
          173.0,              99.50,              0.3320E-2,          18.90E+3,          14.3,         "Water",   "16",
          163.0,              89.40,              0.3370E-2,          17.80E+3,          14.3,         "Water",   "16",
          152.0,              80.40,              0.3480E-2,          16.60E+3,          14.3,         "Water",   "16",
          136.0,              65.90,              0.3560E-2,          14.90E+3,          14.3,         "Water",   "16",
          170.0,              96.60,              0.3340E-2,          18.70E+3,          15.0,         "Water",   "16",
          169.0,              86.80,              0.3390E-2,          17.60E+3,          15.0,         "Water",   "16",
          147.0,              75.10,              0.3480E-2,          16.20E+3,          15.0,         "Water",   "16",
          134.0,              64.30,              0.3580E-2,          14.80E+3,          15.0,         "Water",   "16",
          116.0,              51.10,              0.3800E-2,          12.80E+3,          15.0,         "Water",   "16",
          116.0,              50.30,              0.3740E-2,          12.80E+3,          15.0,         "Water",   "16",
          129.0,              59.20,              0.3560E-2,          14.20E+3,          15.0,         "Water",   "16",
          124.0,              54.50,              0.3550E-2,          13.70E+3,          15.0,         "Water",   "16",
          115.0,              49.10,              0.3710E-2,          12.70E+3,          15.0,         "Water",   "16",
          105.5,              42.40,              0.3810E-2,          11.60E+3,          15.0,         "Water",   "16",
           95.6,              36.30,              0.3970E-2,          10.50E+3,          15.0,         "Water",   "16",
           88.4,              30.80,              0.3880E-2,           9.75E+3,          15.0,         "Water",   "16",
           79.6,              25.60,              0.4040E-2,           8.78E+3,          15.0,         "Water",   "16",
           69.0,              19.70,              0.4130E-2,           7.60E+3,          15.0,         "Water",   "16",
           58.1,              15.00,              0.4440E-2,           6.40E+3,          15.0,         "Water",   "16",
           54.4,              13.50,              0.4560E-2,           6.00E+3,          15.0,         "Water",   "16",
