"Bulk velocity", "Temperature", "Density", "Inertial pressure scale", "Kinematic viscosity", "Wall shear stress", "Friction coefficient", "Reynolds number",
          45.90,          39.5,     0.928,                    1955.0,                  3.79,              122.6,                   6.27,             123.0,
          10.25,          37.7,     0.929,                     975.0,                  4.29,               30.9,                  31.70,              24.0,
          35.90,          37.2,     0.929,                    1195.0,                  4.41,              109.8,                   9.18,              82.5,
          54.90,          36.8,     0.930,                    2800.0,                  4.58,              177.0,                   6.33,             122.0,
           8.02,          36.4,     0.930,                      59.7,                  4.76,               27.2,                  45.60,              17.0,
           5.12,          35.9,     0.930,                      24.4,                  4.99,               17.5,                  70.00,              10.4,
          57.40,          35.9,     0.930,                    3060.0,                  4.99,              205.0,                   6.70,             117.0,
          30.50,          35.6,     0.930,                     865.0,                  5.11,              110.8,                  12.81,              60.6,
           5.46,          35.9,     0.930,                      27.7,                  4.99,               19.5,                  70.40,              11.1,
           5.80,          34.8,     0.931,                      31.2,                  5.46,               22.8,                  73.10,              10.8,
          55.80,          34.5,     0.931,                    2900.0,                  5.57,              219.3,                   7.57,             101.5,
