"Test no.", "Duration of test", "Temperature", "Viscosity", "Mass flow rate", "Head",   "Re", "rho*h/(mu*W)", "F*d/(mu*v)", "F/(rho*v^2)",
         1,              349.6,         18.30,     0.01043,            2.596,   7.62,  98.02,          281.5,        5.978,       0.06099,
         2,              255.3,         18.30,     0.01043,            3.554,  10.42, 134.20,          281.3,        5.974,       0.04452,
         3,              209.2,         18.30,     0.01043,            4.337,  12.77, 163.80,          282.3,        5.998,       0.03663,
         4,              201.1,         18.30,     0.01043,            4.511,  13.29, 170.30,          282.5,        6.001,       0.03523,
         5,              186.5,         18.30,     0.01043,            4.864,  14.31, 183.70,          282.1,        5.995,       0.03263,
         6,              170.3,         18.30,     0.01043,            5.236,  15.46, 197.70,          283.2,        6.017,       0.03044,
         7,              155.3,         18.30,     0.01043,            5.842,  17.34, 220.60,          284.6,        6.046,       0.02741,
         8,              109.2,         18.30,     0.01043,            8.308,  24.97, 313.70,          288.1,        6.120,       0.01951,
         9,              119.1,         18.25,     0.01045,            3.809,  11.21, 143.50,          281.8,        5.985,       0.04169,
        10,              131.3,         18.25,     0.01045,            3.454,  10.18, 130.20,          282.1,        5.992,       0.04602,
        11,              137.7,         18.20,     0.01046,            3.294,   9.75, 124.00,          283.1,        6.013,       0.04850,
        12,              113.6,         18.20,     0.01046,            3.993,  11.80, 150.30,          282.4,        5.999,       0.03991,
        13,              129.1,         18.20,     0.01046,            4.215,  12.47, 158.70,          282.8,        6.006,       0.03785,
        14,              118.5,         18.20,     0.01046,            4.591,  13.56, 172.80,          282.5,        6.001,       0.03472,
