"Series", "Measured depth", "Calculated depth", "Number of tests",
       1,            0.015,             0.0154,                10,
       2,            0.020,             0.0205,                20,
       3,            0.020,             0.0212,                20,
       4,            0.023,             0.0236,                22,
       5,            0.024,             0.0244,                28,
       6,            0.035,             0.0344,                16,
       7,            0.036,             0.0364,                13,
       8,            0.040,             0.0412,                26,
       9,            0.047,             0.0476,                50,
      10,            0.068,             0.0681,                15,
