"Test no.", "Nozzle throat diameter", "Temperature", "Pressure", "Density", "Mean velocity", "Hydraulic diameter", "Pressure gradient", "h_f/(L/D)", "0.5*V^2/g",  "R_e",    "f",
         1,                      9.0,          74.0,      11.09,    0.0702,          8540.0,                 7.88,             0.08620,      4.1900,      314.00, 5.32e5, 0.0133,
         2,                      9.0,          71.0,       9.19,    0.0715,          7670.0,                 7.88,             0.07040,      3.3600,      254.00, 4.91e5, 0.0132,
         3,                      9.0,          70.0,       7.07,    0.0720,          6530.0,                 7.88,             0.05260,      2.4900,      184.00, 4.21e5, 0.0135,
         4,                      9.0,          70.0,       5.04,    0.0717,          5420.0,                 7.88,             0.03720,      1.7700,      127.00, 3.48e5, 0.0140,
         5,                      9.0,          71.0,       3.18,    0.0721,          4140.0,                 7.88,             0.02400,      1.1300,       74.00, 2.68e5, 0.0153,
         6,                      6.0,          71.0,       6.80,    0.0718,          4060.0,                 7.88,             0.02170,      1.0300,       71.20, 2.61e5, 0.0145,
         7,                      6.0,          72.0,       8.22,    0.0708,          4540.0,                 7.88,             0.02680,      1.2900,       88.90, 2.88e5, 0.0145,
         8,                      6.0,          73.0,       5.04,    0.0714,          3470.0,                 7.88,             0.01660,      0.7910,       52.00, 2.22e5, 0.0152,
         9,                      6.0,          76.0,       2.54,    0.0706,          2370.0,                 7.88,             0.00819,      0.3950,       24.20, 1.49e5, 0.0163,
        10,                      6.0,          77.0,       1.59,    0.0708,          1790.0,                 7.88,             0.00479,      0.2300,       13.90, 1.13e5, 0.0166,
        11,                      4.0,          75.0,       7.71,    0.0698,          2260.0,                 7.88,             0.00735,      0.3590,       22.00, 1.40e5, 0.0163,
        12,                      4.0,          71.0,       1.36,    0.0716,           808.0,                 7.88,             0.00117,      0.0558,        2.82, 5.19e4, 0.0198,
        13,                      4.0,          73.0,       2.67,    0.0710,          1320.0,                 7.88,             0.00290,      0.1390,        7.54, 8.39e4, 0.0184,
        14,                      7.0,          75.0,      10.89,    0.0692,          6720.0,                 7.88,             0.05260,      2.5900,      194.00, 4.15e5, 0.0134,
        15,                      7.0,          72.0,       9.81,    0.0696,          6510.0,                 7.88,             0.05080,      2.4900,      183.00, 4.06e5, 0.0136,
        16,                      7.0,          76.0,       9.52,    0.0692,          6270.0,                 7.88,             0.04630,      2.2800,      170.00, 3.85e5, 0.0134,
        17,                      7.0,          76.0,       6.72,    0.0697,          5210.0,                 7.88,             0.03290,      1.6100,      117.00, 3.22e5, 0.0138,
        18,                      7.0,          77.0,       4.62,    0.0694,          4300.0,                 7.88,             0.02310,      1.1300,       79.80, 2.65e5, 0.0142,
        19,                      7.0,          77.0,       2.37,    0.0697,          3090.0,                 7.88,             0.01280,      0.6250,       41.20, 1.91e5, 0.0152,
        20,                      9.0,          73.0,      10.91,    0.0694,          8540.0,                 7.88,             0.08390,      4.1200,      315.00, 5.31e5, 0.0131,
        21,                      9.0,          75.0,      10.42,    0.0694,          8350.0,                 7.88,             0.08070,      3.9600,      301.00, 5.15e5, 0.0132,
        22,                      9.0,          75.0,       8.89,    0.0696,          7670.0,                 7.88,             0.06890,      3.3700,      254.00, 4.73e5, 0.0133,
        23,                      9.0,          76.0,       9.05,    0.0696,          7720.0,                 7.88,             0.07030,      3.4400,      257.00, 4.77e5, 0.0134,
        24,                      9.0,          76.0,       8.34,    0.0695,          7440.0,                 7.88,             0.06430,      3.1500,      239.00, 4.59e5, 0.0132,
        25,                      9.0,          77.0,       5.35,    0.0701,          5870.0,                 7.88,             0.04170,      2.0300,      149.00, 3.65e5, 0.0136,
