"Run number", "Point number", "Pipe diameter [in]", "Impact tube diameter [in]", "Temperature [°F]", "Pressure in the test section at impact tube [mmHg]", "Average velocity [ft/s]", "Wall distance [in]", "Corrected head [inH2O]", "Velocity [ft/s]", "Reynolds number", "Outlier",
18,                        1,                0.500,                       0.028,               75.0,                                                740.7,                     4.493,               0.0250,                 0.000658,             1.742,            1094.0,         0,
18,                        2,                0.500,                       0.028,               75.0,                                                740.7,                     4.493,               0.0500,                 0.002351,             3.292,            1094.0,         0,
18,                        3,                0.500,                       0.028,               75.0,                                                740.7,                     4.493,               0.0750,                 0.004671,             4.640,            1094.0,         0,
18,                        4,                0.500,                       0.028,               75.0,                                                740.7,                     4.493,               0.1000,                 0.007507,             5.882,            1094.0,         0,
18,                        5,                0.500,                       0.028,               75.5,                                                740.7,                     4.494,               0.1250,                 0.009876,             6.751,            1094.0,         0,
18,                        6,                0.500,                       0.028,               75.5,                                                740.7,                     4.494,               0.1500,                 0.012010,             5.444,            1094.0,         1,
18,                        7,                0.500,                       0.028,               75.5,                                                740.7,                     4.494,               0.1750,                 0.014400,             8.151,            1094.0,         0,
18,                        8,                0.500,                       0.028,               75.5,                                                740.7,                     4.494,               0.2000,                 0.015970,             8.584,            1094.0,         0,
18,                        9,                0.500,                       0.028,               75.5,                                                740.7,                     4.494,               0.2250,                 0.016990,             8.854,            1094.0,         0,
18,                       10,                0.500,                       0.028,               75.5,                                                740.7,                     4.494,               0.2500,                 0.017600,             9.011,            1094.0,         0,
18,                       11,                0.500,                       0.028,               75.5,                                                740.7,                     4.494,               0.2750,                 0.017020,             8.862,            1094.0,         0,
19,                        1,                0.500,                       0.028,               78.0,                                                739.7,                     8.250,               0.0250,                 0.003450,             4.000,            1992.0,         0,
19,                        2,                0.500,                       0.028,               78.0,                                                739.7,                     8.250,               0.0500,                 0.009098,             6.497,            1992.0,         0,
19,                        3,                0.500,                       0.028,               78.0,                                                739.7,                     8.250,               0.0750,                 0.015700,             8.534,            1992.0,         0,
19,                        4,                0.500,                       0.028,               78.0,                                                739.7,                     8.250,               0.1000,                 0.022720,            10.270,            1992.0,         0,
19,                        5,                0.500,                       0.028,               78.0,                                                739.6,                     8.250,               0.1250,                 0.029700,            11.740,            1992.0,         0,
19,                        6,                0.500,                       0.028,               78.0,                                                739.6,                     8.250,               0.1500,                 0.036500,            13.020,            1992.0,         0,
19,                        7,                0.500,                       0.028,               78.0,                                                739.6,                     8.250,               0.1750,                 0.044300,            14.340,            1992.0,         0,
19,                        8,                0.500,                       0.028,               78.0,                                                739.5,                     8.271,               0.2000,                 0.050400,            15.290,            1991.0,         0,
19,                        9,                0.500,                       0.028,               78.0,                                                739.5,                     8.271,               0.2250,                 0.054600,            15.920,            1991.0,         0,
19,                       10,                0.500,                       0.028,               78.0,                                                739.5,                     8.271,               0.2500,                 0.057400,            16.340,            1991.0,         0,
19,                       11,                0.500,                       0.028,               78.0,                                                739.5,                     8.271,               0.2750,                 0.054500,            15.900,            1991.0,         0,
20,                        1,                0.500,                       0.028,               75.5,                                                739.8,                    16.930,               0.0250,                 0.056300,            16.120,            4111.0,         0,
20,                        2,                0.500,                       0.028,               75.5,                                                739.8,                    16.930,               0.0500,                 0.073600,            18.440,            4111.0,         0,
20,                        3,                0.500,                       0.028,               75.5,                                                739.8,                    16.930,               0.0750,                 0.082200,            19.480,            4111.0,         0,
20,                        4,                0.500,                       0.028,               75.5,                                                739.8,                    16.930,               0.1000,                 0.089700,            20.350,            4111.0,         0,
20,                        5,                0.500,                       0.028,               75.5,                                                739.8,                    16.930,               0.1250,                 0.095800,            21.030,            4111.0,         0,
20,                        6,                0.500,                       0.028,               75.5,                                                739.8,                    16.930,               0.1500,                 0.101500,            21.650,            4111.0,         0,
20,                        7,                0.500,                       0.028,               76.0,                                                739.8,                    16.940,               0.1750,                 0.106000,            22.130,            4108.0,         0,
20,                        8,                0.500,                       0.028,               76.0,                                                739.8,                    16.940,               0.2000,                 0.109400,            22.490,            4108.0,         0,
20,                        9,                0.500,                       0.028,               76.0,                                                739.8,                    16.940,               0.2250,                 0.112100,            22.760,            4108.0,         0,
20,                       10,                0.500,                       0.028,               76.0,                                                739.8,                    16.940,               0.2500,                 0.114100,            22.970,            4108.0,         0,
20,                       11,                0.500,                       0.028,               76.0,                                                739.8,                    16.940,               0.2750,                 0.112300,            22.780,            4108.0,         0,
21,                        1,                0.500,                       0.028,               75.0,                                                737.3,                     6.431,               0.0250,                 0.002410,             3.339,            1588.0,         0,
21,                        2,                0.500,                       0.028,               75.0,                                                737.2,                     6.431,               0.0500,                 0.005790,             5.176,            1588.0,         0,
21,                        3,                0.500,                       0.028,               75.0,                                                737.1,                     6.429,               0.0750,                 0.009790,             6.735,            1557.0,         0,
21,                        4,                0.500,                       0.028,               75.0,                                                737.0,                     6.429,               0.1000,                 0.014080,             8.076,            1557.0,         0,
21,                        5,                0.500,                       0.028,               75.0,                                                736.9,                     6.429,               0.1250,                 0.018400,             9.233,            1557.0,         0,
21,                        6,                0.500,                       0.028,               75.0,                                                736.8,                     6.428,               0.1500,                 0.023040,            10.330,            1557.0,         0,
21,                        7,                0.500,                       0.028,               75.0,                                                737.7,                     6.428,               0.1750,                 0.026460,            11.070,            1556.0,         0,
21,                        8,                0.500,                       0.028,               75.0,                                                736.6,                     6.432,               0.2000,                 0.030390,            11.870,            1557.0,         0,
21,                        9,                0.500,                       0.028,               75.0,                                                736.5,                     6.432,               0.2250,                 0.032770,            12.320,            1557.0,         0,
21,                       10,                0.500,                       0.028,               75.0,                                                736.4,                     6.432,               0.2500,                 0.033900,            12.540,            1557.0,         0,
22,                        1,                0.500,                       0.028,               73.5,                                                736.7,                     9.759,               0.0250,                 0.009229,             6.531,            2374.0,         0,
22,                        2,                0.500,                       0.028,               73.5,                                                736.6,                     9.760,               0.0500,                 0.018080,             9.142,            2374.0,         0,
22,                        3,                0.500,                       0.028,               73.5,                                                736.6,                     9.760,               0.0750,                 0.026660,            11.100,            2374.0,         0,
22,                        4,                0.500,                       0.028,               73.5,                                                736.5,                     9.761,               0.1000,                 0.033370,            12.420,            2374.0,         0,
22,                        5,                0.500,                       0.028,               73.5,                                                736.4,                     9.761,               0.1250,                 0.038890,            13.410,            2373.0,         0,
22,                        6,                0.500,                       0.028,               73.5,                                                736.3,                     9.763,               0.1500,                 0.044900,            14.410,            2374.0,         0,
22,                        7,                0.500,                       0.028,               73.5,                                                736.2,                     9.764,               0.1750,                 0.048400,            14.960,            2374.0,         0,
22,                        8,                0.500,                       0.028,               73.5,                                                736.2,                     9.764,               0.2000,                 0.051400,            15.420,            2374.0,         0,
22,                        9,                0.500,                       0.028,               73.5,                                                736.1,                     9.764,               0.2250,                 0.053700,            15.760,            2373.0,         0,
22,                       10,                0.500,                       0.028,               73.5,                                                736.0,                     9.765,               0.2500,                 0.054700,            15.910,            2373.0,         0,
22,                       11,                0.500,                       0.028,               73.5,                                                735.9,                     9.765,               0.2750,                 0.053800,            15.780,            2373.0,         0,
23,                        1,                0.500,                       0.028,               75.0,                                                727.3,                    10.400,               0.0250,                 0.013400,             7.931,            2487.0,         0,
23,                        2,                0.500,                       0.028,               75.0,                                                727.2,                    10.400,               0.0500,                 0.024750,            10.780,            2486.0,         0,
23,                        3,                0.500,                       0.028,               75.0,                                                727.2,                    10.400,               0.0750,                 0.032600,            12.370,            2486.0,         0,
23,                        4,                0.500,                       0.028,               75.0,                                                727.2,                    10.400,               0.1000,                 0.038320,            13.410,            2486.0,         0,
23,                        5,                0.500,                       0.028,               75.0,                                                727.1,                    10.400,               0.1250,                 0.042500,            14.130,            2486.0,         0,
23,                        6,                0.500,                       0.028,               75.0,                                                727.1,                    10.400,               0.1500,                 0.046330,            14.750,            2486.0,         0,
23,                        7,                0.500,                       0.028,               75.0,                                                727.0,                    10.400,               0.1750,                 0.048960,            15.160,            2486.0,         0,
23,                        8,                0.500,                       0.028,               75.0,                                                727.0,                    10.400,               0.2000,                 0.050830,            15.450,            2486.0,         0,
23,                        9,                0.500,                       0.028,               75.0,                                                727.0,                    10.400,               0.2250,                 0.052210,            15.660,            2486.0,         0,
23,                       10,                0.500,                       0.028,               75.0,                                                726.9,                    10.400,               0.2500,                 0.052980,            15.770,            2485.0,         0,
23,                       11,                0.500,                       0.028,               75.0,                                                726.9,                    10.400,               0.2750,                 0.052200,            15.660,            2485.0,         0,
24,                        1,                0.500,                       0.028,               75.0,                                                736.8,                    11.140,               0.0250,                 0.018760,             9.324,            2697.0,         0,
24,                        2,                0.500,                       0.028,               75.0,                                                736.8,                    11.140,               0.0500,                 0.030460,            11.880,            2697.0,         0,
24,                        3,                0.500,                       0.028,               75.0,                                                736.8,                    11.140,               0.0750,                 0.038310,            13.320,            2697.0,         0,
24,                        4,                0.500,                       0.028,               75.0,                                                736.8,                    11.140,               0.1000,                 0.042750,            14.070,            2697.0,         0,
24,                        5,                0.500,                       0.028,               75.0,                                                736.8,                    11.140,               0.1250,                 0.046310,            14.650,            2697.0,         0,
24,                        6,                0.500,                       0.028,               75.0,                                                736.8,                    11.140,               0.1500,                 0.049330,            15.120,            2697.0,         0,
24,                        7,                0.500,                       0.028,               75.0,                                                736.8,                    11.140,               0.1750,                 0.051030,            15.380,            2697.0,         0,
24,                        8,                0.500,                       0.028,               75.0,                                                736.8,                    11.140,               0.2000,                 0.052610,            15.610,            2697.0,         0,
24,                        9,                0.500,                       0.028,               75.0,                                                736.8,                    11.140,               0.2250,                 0.053200,            15.700,            2697.0,         0,
24,                       10,                0.500,                       0.028,               75.0,                                                736.8,                    11.140,               0.2500,                 0.053530,            15.750,            2697.0,         0,
24,                       11,                0.500,                       0.028,               75.0,                                                736.8,                    11.140,               0.2750,                 0.053210,            15.700,            2697.0,         0,
25,                        1,                0.500,                       0.028,               75.0,                                                738.7,                    16.930,               0.0250,                 0.056000,            16.090,            4109.0,         0,
25,                        2,                0.500,                       0.028,               75.0,                                                738.7,                    16.930,               0.0500,                 0.072500,            18.310,            4109.0,         0,
25,                        3,                0.500,                       0.028,               75.0,                                                738.7,                    16.930,               0.0750,                 0.082100,            19.480,            4109.0,         0,
25,                        4,                0.500,                       0.028,               75.0,                                                738.7,                    16.930,               0.1000,                 0.089800,            20.370,            4109.0,         0,
26,                        1,                0.500,                       0.028,               75.0,                                                743.6,                    14.170,               0.0250,                 0.035140,            12.700,            3462.0,         0,
26,                        2,                0.500,                       0.028,               75.0,                                                743.6,                    14.170,               0.0500,                 0.051250,            15.340,            3462.0,         0,
26,                        3,                0.500,                       0.028,               75.0,                                                743.7,                    14.170,               0.0750,                 0.059830,            16.570,            3463.0,         0,
26,                        4,                0.500,                       0.028,               75.0,                                                743.7,                    14.170,               0.1000,                 0.067400,            17.590,            3463.0,         0,
26,                        5,                0.500,                       0.028,               75.0,                                                743.7,                    14.170,               0.1250,                 0.071400,            18.110,            3463.0,         0,
26,                        6,                0.500,                       0.028,               75.0,                                                743.8,                    14.150,               0.1500,                 0.075300,            18.590,            3460.0,         0,
26,                        7,                0.500,                       0.028,               75.0,                                                743.8,                    14.150,               0.1750,                 0.078900,            19.030,            3460.0,         0,
26,                        8,                0.500,                       0.028,               75.0,                                                743.9,                    14.150,               0.2000,                 0.081200,            19.310,            3461.0,         0,
26,                        9,                0.500,                       0.028,               75.0,                                                744.0,                    14.700,               0.2250,                 0.082400,            19.440,            3464.0,         0,
26,                       10,                0.500,                       0.028,               75.0,                                                744.0,                    14.700,               0.2500,                 0.082900,            19.500,            3464.0,         0,
26,                       11,                0.500,                       0.028,               75.0,                                                744.1,                    14.700,               0.2750,                 0.082300,            19.430,            3465.0,         0,
26,                       12,                0.500,                       0.028,               75.0,                                                744.1,                    14.700,               0.3000,                 0.080700,            19.240,            3465.0,         0,
26,                       13,                0.500,                       0.028,               75.0,                                                744.2,                    14.700,               0.3250,                 0.078900,            19.030,            3465.0,         0,
26,                       14,                0.500,                       0.028,               75.0,                                                744.2,                    14.700,               0.3500,                 0.075800,            18.650,            3465.0,         0,
26,                       15,                0.500,                       0.028,               75.0,                                                744.3,                    14.700,               0.3750,                 0.071300,            18.090,            3465.0,         0,
26,                       16,                0.500,                       0.028,               75.0,                                                744.3,                    14.700,               0.4000,                 0.067000,            17.530,            3465.0,         0,
27,                        1,                0.500,                       0.028,               78.0,                                                741.8,                    12.430,               0.0250,                 0.026180,            11.000,            3003.0,         0,
