"Angle", "Series 1", "Series 2", "Series 3", "Series 4", "Series 5", "Series 6",
    0.0,     +0.512,     +0.517,     +0.558,     +0.753,     +0.748,     +0.820,
   10.0,           ,     +0.503,     +0.550,     +0.751,     +0.748,     +0.820,
   20.0,     +0.445,     +0.456,     +0.513,     +0.744,     +0.730,     +0.805,
   30.0,     +0.304,     +0.336,     +0.426,     +0.691,     +0.668,     +0.741,
   40.0,     -0.078,     +0.156,     +0.290,     +0.590,     +0.569,     +0.650,
   50.0,     -0.152,     -0.044,     +0.090,     +0.455,     +0.449,     +0.520,
   60.0,     -0.374,     -0.244,     -0.156,     +0.276,     +0.299,     +0.348,
   70.0,     -0.530,     -0.416,     -0.408,     +0.088,     +0.127,     +0.171,
   80.0,     -0.585,     -0.516,     -0.580,     -0.091,     -0.025,     +0.023,
   90.0,     -0.560,     -0.574,     -0.602,     -0.189,     -0.105,     -0.050,
  100.0,     -0.504,     -0.548,     -0.585,     -0.234,     -0.145,     -0.090,
  110.0,     -0.497,     -0.533,     -0.580,     -0.232,     -0.138,     -0.090,
  120.0,     -0.495,     -0.533,     -0.580,     -0.225,     -0.135,     -0.086,
  130.0,     -0.496,     -0.540,     -0.590,     -0.222,     -0.134,     -0.085,
  140.0,     -0.500,     -0.550,     -0.590,     -0.220,     -0.112,     -0.084,
  150.0,     -0.500,     -0.558,     -0.595,     -0.220,     -0.132,     -0.084,
  160.0,     -0.508,     -0.558,     -0.598,     -0.220,     -0.133,     -0.084,
  170.0,     -0.511,     -0.557,     -0.597,     -0.220,     -0.134,     -0.084,
  180.0,     -0.511,     -0.561,     -0.592,     -0.220,     -0.134,     -0.084,
  190.0,     -0.511,     -0.558,     -0.605,     -0.220,     -0.131,     -0.084,
  200.0,     -0.500,     -0.558,     -0.586,     -0.220,     -0.126,     -0.084,
  210.0,     -0.496,     -0.550,     -0.586,     -0.220,     -0.133,     -0.083,
  220.0,     -0.493,     -0.546,     -0.584,     -0.220,     -0.134,     -0.084,
  230.0,     -0.495,     -0.531,     -0.581,     -0.220,     -0.134,     -0.084,
  240.0,     -0.491,     -0.527,     -0.581,     -0.220,     -0.134,     -0.085,
  250.0,     -0.491,     -0.527,     -0.585,     -0.227,     -0.136,     -0.089,
  260.0,     -0.491,     -0.540,     -0.592,     -0.234,     -0.146,     -0.089,
  270.0,     -0.585,     -0.572,     -0.595,     -0.211,     -0.103,     -0.074,
  280.0,     -0.596,     -0.510,     -0.593,     -0.104,     +0.071,     +0.023,
  290.0,     -0.531,     -0.450,     -0.424,     +0.084,     +0.173,           ,
  300.0,     -0.378,     -0.250,     -0.167,     +0.295,     +0.355,     +0.369,
  310.0,     -0.111,     -0.044,     +0.075,     +0.466,     +0.520,     +0.544,
  320.0,     +0.120,     +0.150,     +0.283,     +0.594,     +0.627,     +0.690,
  330.0,     +0.330,     +0.336,     +0.431,     +0.682,     +0.704,     +0.760,
  340.0,     +0.430,     +0.450,     +0.519,     +0.730,     +0.734,     +0.810,
  350.0,     +0.495,     +0.504,     +0.552,     +0.744,     +0.746,     +0.820,
