"Reynolds number", "Drag coefficient",
             5.33,              7.060,
             5.99,              6.410,
            11.00,              4.010,
            13.10,              3.760,
            13.20,              3.660,
            13.90,              3.590,
            14.60,              3.410,
            16.20,              3.290,
            21.10,              2.820,
            23.40,              2.480,
            29.10,              2.280,
            45.00,              1.790,
            50.60,              1.580,
            54.40,              1.520,
            68.90,              1.350,
            68.90,              1.330,
            78.20,              1.270,
            88.10,              1.120,
            93.80,              1.030,
           101.00,              1.080,
           104.00,              1.050,
           108.00,              1.020,
           109.00,              1.030,
           124.00,              0.994,
           130.00,              0.927,
           138.00,              0.907,
           163.00,              0.879,
           168.00,              0.799,
           170.00,              0.819,
           186.00,              0.799,
           186.00,              0.841,
           189.00,              0.778,
           190.00,              0.751,
           191.00,              0.799,
           193.00,              0.732,
           229.00,              0.711,
           229.00,              0.710,
           240.00,              0.700,
           258.00,              0.721,
           280.00,              0.674,
           284.00,              0.646,
           286.00,              0.675,
           311.00,              0.592,
           312.00,              0.607,
           318.00,              0.656,
           358.00,              0.627,
           361.00,              0.600,
           364.00,              0.632,
           379.00,              0.595,
           409.00,              0.579,
           444.00,              0.585,
           468.00,              0.578,
           472.00,              0.566,
           480.00,              0.572,
           500.00,              0.547,
           522.00,              0.544,
           532.00,              0.543,
           532.00,              0.556,
           557.00,              0.552,
           579.00,              0.523,
           588.00,              0.520,
           603.00,              0.531,
           644.00,              0.525,
           713.00,              0.505,
           727.00,              0.480,
           833.00,              0.485,
           932.00,              0.472,
           984.00,              0.466,
           985.00,              0.477,
           985.00,              0.485,
          1000.00,              0.472,
          1000.00,              0.483,
          1070.00,              0.452,
          1330.00,              0.436,
          1650.00,              0.440,
          1690.00,              0.435,
          1950.00,              0.427,
          2000.00,              0.430,
          5570.00,              0.460,
          5990.00,              0.430,
          6210.00,              0.390,
          6250.00,              0.451,
          6900.00,              0.460,
          7280.00,              0.430,
          7520.00,              0.435,
          8230.00,              0.429,
          8580.00,              0.390,
          8700.00,              0.490,
          9620.00,              0.490,
         13300.00,              0.460,
         13400.00,              0.480,
         13900.00,              0.400,
         14700.00,              0.460,
         16800.00,              0.452,
         18000.00,              0.510,
         18700.00,              0.523,
         19500.00,              0.500,
         21200.00,              0.509,
         23100.00,              0.511,
         23600.00,              0.529,
         23700.00,              0.455,
         24100.00,              0.524,
         24200.00,              0.520,
         25000.00,              0.519,
         28000.00,              0.495,
         31900.00,              0.500,
         32400.00,              0.479,
         33800.00,              0.457,
         35400.00,              0.482,
         35500.00,              0.504,
         38200.00,              0.513,
         41800.00,              0.485,
         45900.00,              0.467,
         46800.00,              0.468,
         52400.00,              0.503,
         53500.00,              0.497,
         57500.00,              0.480,
         57700.00,              0.492,
         71900.00,              0.451,
         89000.00,              0.502,
        100000.00,              0.467,
        118300.00,              0.476,
