"Reynolds number", "Strouhal number",
             49.1,            0.1198,
             55.2,            0.1271,
             55.3,            0.1241,
             57.9,            0.1309,
             58.7,            0.1275,
             59.3,            0.1282,
             59.7,            0.1322,
             61.6,            0.1343,
             62.0,            0.1304,
             62.4,            0.1315,
             62.4,            0.1347,
             63.6,            0.1366,
             64.2,            0.1330,
             64.3,            0.1332,
             65.1,            0.1346,
             65.8,            0.1350,
             67.2,            0.1363,
             67.5,            0.1362,
             70.5,            0.1395,
             72.3,            0.1415,
             76.6,            0.1446,
             78.9,            0.1471,
             80.8,            0.1483,
             81.4,            0.1487,
             83.9,            0.1505,
             86.3,            0.1521,
             89.0,            0.1540,
             91.1,            0.1557,
             94.0,            0.1566,
             96.2,            0.1581,
             98.7,            0.1595,
            101.6,            0.1609,
            103.5,            0.1620,
            106.3,            0.1634,
            108.5,            0.1643,
            111.1,            0.1653,
            113.5,            0.1667,
            116.4,            0.1678,
            118.7,            0.1691,
            121.0,            0.1701,
            123.8,            0.1709,
            124.0,            0.1708,
            126.3,            0.1717,
            128.9,            0.1725,
            133.8,            0.1743,
            136.0,            0.1750,
            138.3,            0.1757,
            141.4,            0.1768,
            144.1,            0.1778,
            147.1,            0.1780,
            149.0,            0.1785,
            151.4,            0.1794,
            154.0,            0.1800,
            156.2,            0.1807,
            159.2,            0.1812,
            161.3,            0.1819,
            163.9,            0.1824,
            166.6,            0.1827,
            169.1,            0.1830,
            171.4,            0.1838,
            174.2,            0.1845,
