"z/r",  "u/U",  "Re_U",
-1.000, -1.000,  1200.0,
-0.962, -0.962,  1200.0,
-0.924, -0.912,  1200.0,
-0.886, -0.871,  1200.0,
-0.760, -0.743,  1200.0,
-0.633, -0.615,  1200.0,
-0.506, -0.492,  1200.0,
-0.380, -0.385,  1200.0,
-0.253, -0.256,  1200.0,
+0.000, +0.000,  1200.0,
+0.253, +0.256,  1200.0,
+0.380, +0.379,  1200.0,
+0.506, +0.502,  1200.0,
+0.633, +0.613,  1200.0,
+0.760, +0.733,  1200.0,
+0.886, +0.865,  1200.0,
+0.924, +0.912,  1200.0,
+0.962, +0.962,  1200.0,
+1.000, +1.000,  1200.0,
-1.000, -1.000,  2900.0,
-0.962, -0.888,  2900.0,
-0.949, -0.815,  2900.0,
-0.924, -0.728,  2900.0,
-0.886, -0.623,  2900.0,
-0.823, -0.517,  2900.0,
-0.760, -0.387,  2900.0,
-0.633, -0.265,  2900.0,
-0.506, -0.153,  2900.0,
-0.380, -0.110,  2900.0,
-0.253, -0.075,  2900.0,
+0.000, +0.000,  2900.0,
+0.253, +0.074,  2900.0,
+0.380, +0.113,  2900.0,
+0.506, +0.158,  2900.0,
+0.633, +0.263,  2900.0,
+0.760, +0.389,  2900.0,
+0.823, +0.510,  2900.0,
+0.886, +0.618,  2900.0,
+0.924, +0.728,  2900.0,
+0.949, +0.811,  2900.0,
+0.962, +0.888,  2900.0,
+1.000, +1.000,  2900.0,
-1.000, -1.000, 34000.0,
-0.949, -0.347, 34000.0,
-0.897, -0.283, 34000.0,
-0.846, -0.245, 34000.0,
-0.778, -0.213, 34000.0,
-0.692, -0.170, 34000.0,
-0.607, -0.139, 34000.0,
-0.521, -0.113, 34000.0,
-0.350, -0.086, 34000.0,
-0.179, -0.037, 34000.0,
+0.000, -0.002, 34000.0,
+0.179, +0.033, 34000.0,
+0.350, +0.079, 34000.0,
+0.521, +0.136, 34000.0,
+0.607, +0.153, 34000.0,
+0.692, +0.177, 34000.0,
+0.778, +0.224, 34000.0,
+0.846, +0.250, 34000.0,
+0.897, +0.294, 34000.0,
+0.949, +0.357, 34000.0,
+1.000, +1.000, 34000.0,
