"Atomic number", "Symbol", "Name",     "Minimimum standard atomic weight", "Maximum standard atomic weight", "Conventional atomic weight",
              1, "H",      "hydrogen",                        1.007840000,                      1.008110000,                       1.0080,
              2, "He",     "helium",                          4.002600000,                      4.002604000,                       4.0026,
              3, "Li",     "lithium",                         6.938000000,                      6.997000000,                       6.9400,
              4, "Be",     "beryllium",                       9.012182600,                      9.012183600,                       9.0122,
              5, "B",      "boron",                          10.806000000,                     10.821000000,                      10.8100,
              6, "C",      "carbon",                         12.009600000,                     12.011600000,                      12.0110,
              7, "N",      "nitrogen",                       14.006430000,                     14.007280000,                      14.0070,
              8, "O",      "oxygen",                         15.999030000,                     15.999770000,                      15.9990,
              9, "F",      "fluorine",                       18.998403157,                     18.998403169,                      18.9980,
             10, "Ne",     "neon",                           20.179100000,                     20.180300000,                      20.1800,
             11, "Na",     "sodium",                         22.989769260,                     22.989769300,                      22.9900,
             12, "Mg",     "magnesium",                      24.304000000,                     24.307000000,                      24.3050,
             13, "Al",     "aluminum",                       26.981538100,                     26.981538700,                      26.9820,
             14, "Si",     "silicon",                        28.084000000,                     28.086000000,                      28.0850,
             15, "P",      "phosphorus",                     30.973761993,                     30.973762003,                      30.9740,
             16, "S",      "sulfur",                         32.059000000,                     32.076000000,                      32.0600,
             17, "Cl",     "chlorine",                       35.446000000,                     35.457000000,                      35.4500,
             18, "Ar",     "argon",                          39.792000000,                     39.963000000,                      39.9500,
