"Pressure [bar]", "Temperature [°C]",  "Fluid", "Quantity", "Value",
0.9,                             0.0, "H2O(l)",      "rho",  999.82,
0.9,                             5.0, "H2O(l)",      "rho",  999.99,
0.9,                            10.0, "H2O(l)",      "rho",  999.74,
0.9,                            15.0, "H2O(l)",      "rho",  999.13,
0.9,                            20.0, "H2O(l)",      "rho",  998.23,
0.9,                            25.0, "H2O(l)",      "rho",  997.06,
0.9,                            30.0, "H2O(l)",      "rho",  995.65,
0.9,                            35.0, "H2O(l)",      "rho",  994.03,
0.9,                            40.0, "H2O(l)",      "rho",  992.21,
0.9,                            45.0, "H2O(l)",      "rho",  990.20,
0.9,                            50.0, "H2O(l)",      "rho",  988.03,
0.9,                            55.0, "H2O(l)",      "rho",  985.69,
0.9,                            60.0, "H2O(l)",      "rho",  983.19,
0.9,                            65.0, "H2O(l)",      "rho",  980.56,
0.9,                            70.0, "H2O(l)",      "rho",  977.78,
0.9,                            75.0, "H2O(l)",      "rho",  974.86,
0.9,                            80.0, "H2O(l)",      "rho",  971.81,
0.9,                            85.0, "H2O(l)",      "rho",  968.64,
0.9,                            90.0, "H2O(l)",      "rho",  965.34,
0.9,                            95.0, "H2O(l)",      "rho",  961.92,
1.0,                             0.0, "H2O(l)",      "rho",  999.83,
1.0,                             5.0, "H2O(l)",      "rho",  999.99,
1.0,                            10.0, "H2O(l)",      "rho",  999.74,
1.0,                            15.0, "H2O(l)",      "rho",  999.14,
1.0,                            20.0, "H2O(l)",      "rho",  998.23,
1.0,                            25.0, "H2O(l)",      "rho",  997.06
1.0,                            30.0, "H2O(l)",      "rho",  995.65,
1.0,                            35.0, "H2O(l)",      "rho",  994.03,
1.0,                            40.0, "H2O(l)",      "rho",  992.21,
1.0,                            45.0, "H2O(l)",      "rho",  990.21,
1.0,                            50.0, "H2O(l)",      "rho",  988.03,
1.0,                            55.0, "H2O(l)",      "rho",  985.69,
1.0,                            60.0, "H2O(l)",      "rho",  983.20,
1.0,                            65.0, "H2O(l)",      "rho",  980.56,
1.0,                            70.0, "H2O(l)",      "rho",  977.78,
1.0,                            75.0, "H2O(l)",      "rho",  974.86,
1.0,                            80.0, "H2O(l)",      "rho",  971.82,
1.0,                            85.0, "H2O(l)",      "rho",  968.64,
1.0,                            90.0, "H2O(l)",      "rho",  965.35,
1.0,                            95.0, "H2O(l)",      "rho",  961.93,
1.1,                             0.0, "H2O(l)",      "rho",  999.83,
1.1,                             5.0, "H2O(l)",      "rho", 1000.00,
1.1,                            10.0, "H2O(l)",      "rho",  999.75,
1.1,                            15.0, "H2O(l)",      "rho",  999.14,
1.1,                            20.0, "H2O(l)",      "rho",  998.24,
1.1,                            25.0, "H2O(l)",      "rho",  997.07,
1.1,                            30.0, "H2O(l)",      "rho",  995.66,
1.1,                            35.0, "H2O(l)",      "rho",  994.03,
1.1,                            40.0, "H2O(l)",      "rho",  992.21,
1.1,                            45.0, "H2O(l)",      "rho",  990.21,
1.1,                            50.0, "H2O(l)",      "rho",  988.03,
1.1,                            55.0, "H2O(l)",      "rho",  985.70,
1.1,                            60.0, "H2O(l)",      "rho",  983.20,
1.1,                            65.0, "H2O(l)",      "rho",  980.56,
1.1,                            70.0, "H2O(l)",      "rho",  977.78,
1.1,                            75.0, "H2O(l)",      "rho",  974.87,
1.1,                            80.0, "H2O(l)",      "rho",  971.82,
1.1,                            85.0, "H2O(l)",      "rho",  968.65,
1.1,                            90.0, "H2O(l)",      "rho",  965.35,
1.1,                            95.0, "H2O(l)",      "rho",  961.93,
1.1,                           100.0, "H2O(l)",      "rho",  958.40,
