"Pressure [atm]", "Temperature [K]",         "Fluid", "Quantity", "Value", "Uncertainty percent", "Preferred?",
1.0,                          100.0,  "_gaseous_air",       "mu",  0.4038,                   2.0,            0,
1.0,                          110.0,  "_gaseous_air",       "mu",  0.4448,                   2.0,            0,
1.0,                          120.0,  "_gaseous_air",       "mu",  0.4848,                   2.0,            0,
1.0,                          130.0,  "_gaseous_air",       "mu",  0.5239,                   2.0,            0,
1.0,                          140.0,  "_gaseous_air",       "mu",  0.5621,                   2.0,            0,
1.0,                          150.0,  "_gaseous_air",       "mu",  0.5994,                   2.0,            0,
1.0,                          160.0,  "_gaseous_air",       "mu",  0.6359,                   2.0,            0,
1.0,                          170.0,  "_gaseous_air",       "mu",  0.6716,                   2.0,            0,
1.0,                          180.0,  "_gaseous_air",       "mu",  0.7065,                   2.0,            0,
1.0,                          190.0,  "_gaseous_air",       "mu",  0.7407,                   2.0,            0,
1.0,                          200.0,  "_gaseous_air",       "mu",  0.7742,                   2.0,            0,
1.0,                          210.0,  "_gaseous_air",       "mu",  0.8070,                   2.0,            0,
1.0,                          220.0,  "_gaseous_air",       "mu",  0.8391,                   2.0,            0,
1.0,                          230.0,  "_gaseous_air",       "mu",  0.8706,                   2.0,            0,
1.0,                          240.0,  "_gaseous_air",       "mu",  0.9015,                   2.0,            0,
1.0,                          250.0,  "_gaseous_air",       "mu",  0.9319,                   2.0,            0,
1.0,                          260.0,  "_gaseous_air",       "mu",  0.9617,                   2.0,            0,
1.0,                          270.0,  "_gaseous_air",       "mu",  0.9909,                   2.0,            0,
1.0,                          280.0,  "_gaseous_air",       "mu",  1.0200,                   2.0,            0,
1.0,                          290.0,  "_gaseous_air",       "mu",  1.0760,                   2.0,            0,
1.0,                          300.0,  "_gaseous_air",       "mu",  1.0760,                   2.0,            0,
1.0,                          310.0,  "_gaseous_air",       "mu",  1.1030,                   2.0,            0,
1.0,                          320.0,  "_gaseous_air",       "mu",  1.1300,                   2.0,            0,
1.0,                          330.0,  "_gaseous_air",       "mu",  1.1570,                   2.0,            0,
1.0,                          340.0,  "_gaseous_air",       "mu",  1.1830,                   2.0,            0,
1.0,                          350.0,  "_gaseous_air",       "mu",  1.2090,                   2.0,            0,
1.0,                          360.0,  "_gaseous_air",       "mu",  1.2340,                   2.0,            0,
1.0,                          370.0,  "_gaseous_air",       "mu",  1.2590,                   2.0,            0,
1.0,                          380.0,  "_gaseous_air",       "mu",  1.2830,                   2.0,            0,
1.0,                          390.0,  "_gaseous_air",       "mu",  1.3080,                   2.0,            0,
1.0,                          400.0,  "_gaseous_air",       "mu",  1.3320,                   2.0,            0,
1.0,                          410.0,  "_gaseous_air",       "mu",  1.3560,                   2.0,            0,
1.0,                          420.0,  "_gaseous_air",       "mu",  1.3790,                   2.0,            0,
1.0,                          430.0,  "_gaseous_air",       "mu",  1.4020,                   2.0,            0,
1.0,                          440.0,  "_gaseous_air",       "mu",  1.4250,                   2.0,            0,
1.0,                          450.0,  "_gaseous_air",       "mu",  1.4480,                   2.0,            0,
1.0,                          460.0,  "_gaseous_air",       "mu",  1.4700,                   2.0,            0,
1.0,                          470.0,  "_gaseous_air",       "mu",  1.4910,                   2.0,            0,
1.0,                          480.0,  "_gaseous_air",       "mu",  1.5130,                   2.0,            0,
1.0,                          490.0,  "_gaseous_air",       "mu",  1.5340,                   2.0,            0,
1.0,                          500.0,  "_gaseous_air",       "mu",  1.5560,                   2.0,            0,
1.0,                          510.0,  "_gaseous_air",       "mu",  1.5770,                   2.0,            0,
1.0,                          520.0,  "_gaseous_air",       "mu",  1.5980,                   2.0,            0,
1.0,                          530.0,  "_gaseous_air",       "mu",  1.6190,                   2.0,            0,
1.0,                          540.0,  "_gaseous_air",       "mu",  1.6400,                   2.0,            0,
1.0,                          550.0,  "_gaseous_air",       "mu",  1.6600,                   2.0,            0,
1.0,                          560.0,  "_gaseous_air",       "mu",  1.6800,                   2.0,            0,
1.0,                          570.0,  "_gaseous_air",       "mu",  1.7000,                   2.0,            0,
1.0,                          580.0,  "_gaseous_air",       "mu",  1.7200,                   2.0,            0,
1.0,                          590.0,  "_gaseous_air",       "mu",  1.7390,                   2.0,            0,
1.0,                          600.0,  "_gaseous_air",       "mu",  1.7580,                   2.0,            0,
1.0,                          610.0,  "_gaseous_air",       "mu",  1.7770,                   2.0,            0,
1.0,                          620.0,  "_gaseous_air",       "mu",  1.7960,                   2.0,            0,
1.0,                          630.0,  "_gaseous_air",       "mu",  1.8150,                   2.0,            0,
1.0,                          640.0,  "_gaseous_air",       "mu",  1.8340,                   2.0,            0,
1.0,                          650.0,  "_gaseous_air",       "mu",  1.8520,                   2.0,            0,
1.0,                          660.0,  "_gaseous_air",       "mu",  1.8700,                   2.0,            0,
1.0,                          670.0,  "_gaseous_air",       "mu",  1.8880,                   2.0,            0,
1.0,                          680.0,  "_gaseous_air",       "mu",  1.9060,                   2.0,            0,
1.0,                          690.0,  "_gaseous_air",       "mu",  1.9240,                   2.0,            0,
1.0,                          700.0,  "_gaseous_air",       "mu",  1.9429,                   2.0,            0,
