"Pressure [MPa]", "Temperature [°C]",  "Fluid", "Quantity",        "Value", "Uncertainty percent", "Preferred?",
0.08,                            0.0, "H2O(l)",     "vbar",      0.0010002,                 0.003,            1,
0.08,                            5.0, "H2O(l)",     "vbar",      0.0010000,                 0.003,            1,
0.08,                           10.0, "H2O(l)",     "vbar",      0.0010003,                 0.003,            1,
0.08,                           15.0, "H2O(l)",     "vbar",      0.0010009,                 0.003,            1,
0.08,                           20.0, "H2O(l)",     "vbar",      0.0010018,                 0.003,            1,
0.08,                           25.0, "H2O(l)",     "vbar",      0.0010030,                 0.003,            1,
0.08,                           30.0, "H2O(l)",     "vbar",      0.0010044,                 0.003,            1,
0.08,                           35.0, "H2O(l)",     "vbar",      0.0010060,                 0.003,            1,
0.08,                           40.0, "H2O(l)",     "vbar",      0.0010078,                 0.003,            1,
0.08,                           45.0, "H2O(l)",     "vbar",      0.0010099,                 0.003,            1,
0.08,                           50.0, "H2O(l)",     "vbar",      0.0010121,                 0.003,            1,
0.08,                           55.0, "H2O(l)",     "vbar",      0.0010145,                 0.003,            1,
0.08,                           60.0, "H2O(l)",     "vbar",      0.0010171,                 0.003,            1,
0.08,                           65.0, "H2O(l)",     "vbar",      0.0010198,                 0.003,            1,
0.08,                           70.0, "H2O(l)",     "vbar",      0.0010227,                 0.003,            1,
0.08,                           75.0, "H2O(l)",     "vbar",      0.0010258,                 0.003,            1,
0.08,                           80.0, "H2O(l)",     "vbar",      0.0010290,                 0.003,            1,
0.08,                           85.0, "H2O(l)",     "vbar",      0.0010324,                 0.003,            1,
0.08,                           90.0, "H2O(l)",     "vbar",      0.0010359,                 0.003,            1,
0.09,                            0.0, "H2O(l)",     "vbar",      0.0010002,                 0.003,            1,
0.09,                            5.0, "H2O(l)",     "vbar",      0.0010000,                 0.003,            1,
0.09,                           10.0, "H2O(l)",     "vbar",      0.0010003,                 0.003,            1,
0.09,                           15.0, "H2O(l)",     "vbar",      0.0010009,                 0.003,            1,
0.09,                           20.0, "H2O(l)",     "vbar",      0.0010018,                 0.003,            1,
0.09,                           25.0, "H2O(l)",     "vbar",      0.0010030,                 0.003,            1,
0.09,                           30.0, "H2O(l)",     "vbar",      0.0010044,                 0.003,            1,
0.09,                           35.0, "H2O(l)",     "vbar",      0.0010060,                 0.003,            1,
0.09,                           40.0, "H2O(l)",     "vbar",      0.0010078,                 0.003,            1,
0.09,                           45.0, "H2O(l)",     "vbar",      0.0010099,                 0.003,            1,
0.09,                           50.0, "H2O(l)",     "vbar",      0.0010121,                 0.003,            1,
0.09,                           55.0, "H2O(l)",     "vbar",      0.0010145,                 0.003,            1,
0.09,                           60.0, "H2O(l)",     "vbar",      0.0010171,                 0.003,            1,
0.09,                           65.0, "H2O(l)",     "vbar",      0.0010198,                 0.003,            1,
0.09,                           70.0, "H2O(l)",     "vbar",      0.0010227,                 0.003,            1,
0.09,                           75.0, "H2O(l)",     "vbar",      0.0010258,                 0.003,            1,
0.09,                           80.0, "H2O(l)",     "vbar",      0.0010290,                 0.003,            1,
0.09,                           85.0, "H2O(l)",     "vbar",      0.0010324,                 0.003,            1,
0.09,                           90.0, "H2O(l)",     "vbar",      0.0010359,                 0.003,            1,
0.09,                           95.0, "H2O(l)",     "vbar",      0.0010396,                 0.003,            1,
0.10,                            0.0, "H2O(l)",     "vbar",      0.0010002,                 0.003,            1,
0.10,                            5.0, "H2O(l)",     "vbar",      0.0010000,                 0.003,            1,
0.10,                           10.0, "H2O(l)",     "vbar",      0.0010003,                 0.003,            1,
0.10,                           15.0, "H2O(l)",     "vbar",      0.0010009,                 0.003,            1,
0.10,                           20.0, "H2O(l)",     "vbar",      0.0010018,                 0.003,            1,
0.10,                           25.0, "H2O(l)",     "vbar",      0.0010030,                 0.003,            1,
0.10,                           30.0, "H2O(l)",     "vbar",      0.0010044,                 0.003,            1,
