"Pressure [atm]", "Temperature [K]",        "Fluid", "Quantity", "Value", "Uncertainty percent", "Preferred?",
1.0,                           90.0, "_gaseous_air",   "lambda",  0.0830,                   1.0,            1,
1.0,                          100.0, "_gaseous_air",   "lambda",  0.0922,                   1.0,            1,
1.0,                          110.0, "_gaseous_air",   "lambda",  0.1015,                   1.0,            1,
1.0,                          120.0, "_gaseous_air",   "lambda",  0.1106,                   1.0,            1,
1.0,                          130.0, "_gaseous_air",   "lambda",  0.1197,                   1.0,            1,
1.0,                          140.0, "_gaseous_air",   "lambda",  0.1287,                   1.0,            1,
1.0,                          150.0, "_gaseous_air",   "lambda",  0.1375,                   1.0,            1,
1.0,                          160.0, "_gaseous_air",   "lambda",  0.1463,                   1.0,            1,
1.0,                          170.0, "_gaseous_air",   "lambda",  0.1550,                   1.0,            1,
1.0,                          180.0, "_gaseous_air",   "lambda",  0.1637,                   1.0,            1,
1.0,                          190.0, "_gaseous_air",   "lambda",  0.1723,                   1.0,            1,
1.0,                          200.0, "_gaseous_air",   "lambda",  0.1810,                   1.0,            1,
1.0,                          210.0, "_gaseous_air",   "lambda",  0.1895,                   1.0,            1,
1.0,                          220.0, "_gaseous_air",   "lambda",  0.1980,                   1.0,            1,
1.0,                          230.0, "_gaseous_air",   "lambda",  0.2063,                   1.0,            1,
1.0,                          240.0, "_gaseous_air",   "lambda",  0.2145,                   1.0,            1,
1.0,                          250.0, "_gaseous_air",   "lambda",  0.2226,                   1.0,            1,
1.0,                          260.0, "_gaseous_air",   "lambda",  0.2305,                   1.0,            1,
1.0,                          270.0, "_gaseous_air",   "lambda",  0.2384,                   1.0,            1,
1.0,                          280.0, "_gaseous_air",   "lambda",  0.2461,                   1.0,            1,
1.0,                          290.0, "_gaseous_air",   "lambda",  0.2538,                   1.0,            1,
1.0,                          300.0, "_gaseous_air",   "lambda",  0.2614,                   1.0,            1,
1.0,                          310.0, "_gaseous_air",   "lambda",  0.2687,                   1.0,            1,
1.0,                          320.0, "_gaseous_air",   "lambda",  0.2759,                   1.0,            1,
1.0,                          330.0, "_gaseous_air",   "lambda",  0.2830,                   1.0,            1,
1.0,                          340.0, "_gaseous_air",   "lambda",  0.2900,                   1.0,            1,
1.0,                          350.0, "_gaseous_air",   "lambda",  0.2970,                   1.0,            1,
1.0,                          360.0, "_gaseous_air",   "lambda",  0.3039,                   1.0,            1,
1.0,                          370.0, "_gaseous_air",   "lambda",  0.3107,                   1.0,            1,
1.0,                          380.0, "_gaseous_air",   "lambda",  0.3173,                   1.0,            1,
1.0,                          390.0, "_gaseous_air",   "lambda",  0.3239,                   1.0,            1,
1.0,                          400.0, "_gaseous_air",   "lambda",  0.3305,                   1.0,            1,
1.0,                          410.0, "_gaseous_air",   "lambda",  0.3371,                   5.0,            1,
1.0,                          420.0, "_gaseous_air",   "lambda",  0.3437,                   5.0,            1,
1.0,                          430.0, "_gaseous_air",   "lambda",  0.3503,                   5.0,            1,
1.0,                          440.0, "_gaseous_air",   "lambda",  0.3568,                   5.0,            1,
1.0,                          450.0, "_gaseous_air",   "lambda",  0.3633,                   5.0,            1,
1.0,                          460.0, "_gaseous_air",   "lambda",  0.3697,                   5.0,            1,
1.0,                          470.0, "_gaseous_air",   "lambda",  0.3761,                   5.0,            1,
1.0,                          480.0, "_gaseous_air",   "lambda",  0.3825,                   5.0,            1,
1.0,                          490.0, "_gaseous_air",   "lambda",  0.3888,                   5.0,            1,
